id,full_name,is_active
1131,Jimmy Carruth,False
1853,Anthony Carter,False
76355,Butch Carter,False
1642269,Devin Carter,True
76356,Fred Carter,False
76357,George Carter,False
76358,Howard Carter,False
76359,Jake Carter,False
1628975,Jevon Carter,True
2466,Maurice Carter,False
76360,Reggie Carter,False
76361,Ron Carter,False
1713,Vince Carter,False
1628976,Wendell Carter Jr.,True
203487,Michael Carter-Williams,False
1630618,D.J. Carton,False
76362,Bill Cartwright,False
76363,Jay Carty,False
1627936,Alex Caruso,True
76364,Cornelius Cash,False
208,Sam Cassell,False
201956,Omri Casspi,False
1642264,Stephon Castle,True
1630658,Colin Castleton,True
76365,Harvey Catchings,False
767,Terry Catledge,False
76367,Sid Catlett,False
1509,Kelvin Cato,False
76368,Bobby Cattage,False
1626161,Willie Cauley-Stein,False
1628505,Troy Caupain,False
190,Duane Causwell,False
1628463,Tyler Cavanaugh,False
76370,Ron Cavenall,False
1629958,Ahmad Caver,False
1630608,Malcolm Cazalon,False
76,Cedric Ceballos,False
1911,John Celestand,False
76373,Al Cervi,False
2763,Lionel Chalmers,False
201596,Mario Chalmers,False
76374,Bill Chamberlain,False
76375,Wilt Chamberlain,False
76376,Jerry Chambers,False
1472,Tom Chambers,False
1630577,Julian Champagnie,True
1630551,Justin Champagnie,True
76378,Mike Champion,False
1631113,Kennedy Chandler,False
2199,Tyson Chandler,False
201163,Wilson Chandler,False
76379,Don Chaney,False
76380,John Chaney,False
364,Rex Chapman,False
76382,Len Chappell,False
76383,Ken Charles,False
76384,Lorenzo Charles,False
1629147,Joe Chealey,False
384,Calbert Cheaney,False
1629597,Zylan Cheatham,False
76385,Maurice Cheeks,False
76386,Phil Chenier,False
203805,Will Cherry,False
76387,Derrick Chievous,False
432,Pete Chilcutt,False
2735,Josh Childress,False
719,Randolph Childress,False
164,Chris Childs,False
1629185,Chris Chiozza,False
76391,Leroy Chollet,False
1642279,Ulrich Chomche,False
76392,Jim Chones,False
1627737,Marquese Chriss,False
76393,Fred Christ,False
76394,Cal Christensen,False
76395,Bob Christian,False
1642353,Cam Christie,True
57,Doug Christie,False
1631108,Max Christie,True
202091,Dionte Christmas,False
1626176,Rakeem Christmas,False
203902,Semaj Christon,False
1630528,Josh Christopher,False
203565,Patrick Christopher,False
928,Robert Churchwell,False
1630619,Moussa Cisse,True
1631321,Sidy Cissoko,True
76397,Archie Clark,False
76398,Carlos Clark,False
201947,Earl Clark,False
1629109,Gary Clark,False
203546,Ian Clark,False
1641740,Jaylen Clark,True
1721,Keon Clark,False
1629634,Brandon Clarke,True
1626262,Coty Clarke,False
203903,Jordan Clarkson,True
1628492,Gian Clavell,False
201964,Victor Claver,False
1127,Charles Claxton,False
1629651,Nic Claxton,True
2049,Speedy Claxton,False
1642383,Walter Clayton Jr.,True
76402,Jim Cleamons,False
2043,Mateen Cleaves,False
76403,John Clemens,False
1629598,Chris Clemons,False
1628499,Antonius Cleveland,False
1642363,Nique Clifford,True
76404,Nat Clifton,False
1642270,Donovan Clingan,True
76406,Bill Closs,False
1569,Keith Closs,False
1641730,Noah Clowney,True
76407,Paul Cloyd,False
76408,Marion Cluggish,False
76409,Ben Clyde,False
1629599,Amir Coffey,True
76410,Richard Coffey,False
76411,Fred Cofield,False
715,John Coker,False
202708,Norris Cole,False
76412,Ben Coleman,False
934,Derrick Coleman,False
76413,E.C. Coleman,False
76414,Jack Coleman,False
76415,Norris Coleman,False
902,Bimbo Coles,False
1642268,Isaiah Collier,True
2044,Jason Collier,False
76416,Art Collins,False
76418,Don Collins,False
76421,Doug Collins,False
1530,James Collins,False
2260,Jarron Collins,False
2215,Jason Collins,False
76419,Jimmy Collins,False
1628381,John Collins,True
200776,Mardy Collins,False
202395,Sherron Collins,False
1641879,Yuri Collins,False
1628380,Zach Collins,True
1627858,Kyle Collinsworth,False
201954,Darren Collison,False
2555,Nick Collison,False
76422,Joe Colone,False
1629045,Bonzie Colson,False
2173,Sean Colson,False
306,Steve Colter,False
1628435,Chance Comanche,False
76425,Leroy Combs,False
76426,Dallas Comegys,False
76427,Larry Comley,False
76428,Gene Conley,False
201144,Mike Conley,True
76429,Ed Conlin,False
55,Marty Conlon,False
1626192,Pat Connaughton,True
76431,Lester Conner,False
76432,Chuck Connors,False
101215,Will Conroy,False
76433,Anthony Cook,False
76434,Bert Cook,False
76438,Bobby Cook,False
2567,Brian Cook,False
201161,Daequan Cook,False
76435,Darwin Cook,False
76436,Jeff Cook,False
76437,Norm Cook,False
2241,Omar Cook,False
1626188,Quinn Cook,False
1629076,Tyler Cook,False
1628429,Charles Cooke,False
76439,David Cooke,False
1631451,Javonte Cooke,True
76440,Joe Cooke,False
1641645,Xavier Cooks,False
204022,Jack Cooley,False
76442,Chuck Cooper,False
1030,Duane Cooper,False
